,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
variable,year,,,,,,,,
OP_AA_m3,2013,119.0,2.324981344537815,2.606153665867274,0.25723,0.904495,1.3853,2.55398,16.18537
OP_AA_m3,2014,121.0,1.0932633884297522,1.1511071079259259,0.04065,0.3459,0.75324,1.44191,7.83966
OP_AA_m3,2015,103.0,2.2698685436893205,2.2928076845941816,0.16459,0.7180150000000001,1.10914,3.45051,11.65262
OP_AA_m3,2016,107.0,1.466083831775701,1.6667307770759379,-2.0,0.506695,0.90517,1.673295,8.36959
OP_AA_m3,2017,120.0,1.6249180833333337,1.7264727955566332,0.11901,0.469515,0.9413549999999999,1.9747849999999998,7.37204
OP_AA_m3,2018,92.0,1.1313753260869566,0.8641108789537753,0.00363,0.5130075000000001,0.9133899999999999,1.5491549999999998,4.90551
OP_AA_m3,2019,107.0,1.1248808411214954,0.9822030142367213,0.15007,0.4475,0.7584,1.42039,5.36681
OP_AA_m3,2020,42.0,0.9936007142857142,0.8196156049663497,0.18814,0.46333250000000004,0.6716,1.1873550000000002,3.79695
OP_DTT_m3,2013,119.0,3.0811651260504203,1.9839551362507433,0.56453,1.771045,2.64316,3.81982,11.40299
OP_DTT_m3,2014,121.0,2.2196852892561987,1.5660066244267479,0.05921,1.32065,1.69437,2.47366,7.96502
OP_DTT_m3,2015,103.0,1.367375436893204,1.230674116872041,0.1708,0.446515,0.81048,2.2433500000000004,5.00222
OP_DTT_m3,2016,107.0,1.5908542990654204,1.2875587534893325,-2.0,0.76543,1.23632,2.00683,5.93122
OP_DTT_m3,2017,120.0,2.0345743333333335,1.8594406584301315,0.33556,0.893935,1.37436,2.36561,9.85507
OP_DTT_m3,2018,92.0,1.4360459782608697,0.6114682788696955,0.07271,0.9319425,1.354905,1.8409875,2.93814
OP_DTT_m3,2019,107.0,1.1768443925233645,0.7727830043447569,0.17378,0.63724,1.01503,1.40764,4.67903
OP_DTT_m3,2020,42.0,1.0004535714285714,0.4930847124657401,0.13644,0.5430200000000001,0.955465,1.4198724999999999,2.1095
PM10,2013,351.0,24.384615384615383,13.737859775408657,2.0,14.5,22.0,30.0,83.0
PM10,2014,360.0,20.386111111111113,10.137952433402786,4.0,13.0,19.0,25.0,67.0
PM10,2015,357.0,22.81232492997199,11.15322618846125,4.0,14.0,20.0,29.0,86.0
PM10,2016,352.0,19.039772727272727,11.50689662913811,3.0,11.0,16.0,24.0,57.0
PM10,2017,350.0,19.62857142857143,11.37927214849675,3.0,12.0,17.0,24.0,70.0
PM10,2018,366.0,17.219672131147544,7.623287745887011,3.1,12.125,16.15,21.7,49.8
PM10,2019,352.0,17.21846590909091,7.903378406254678,4.6,11.2,15.6,22.025,48.2
PM10,2020,190.0,17.913684210526316,8.25171600593516,5.2,12.649999999999999,16.8,21.125,54.3
